transcript_id,gene_id,gene_name,product,biotype,family
URS00033D8869_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS0003292DA3_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS0002312108_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00022B3D27_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS0000E00195_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS0000724A9B_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS000070EE3F_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS000070B1F2_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006FFEDA_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006E74B7_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006E22D1_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006DA1EE_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006CAE11_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006C8419_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006BDEB6_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006BC10B_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS000069B605_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS000068942B_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS0000689324_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS0000682481_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS000067F640_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS000067B7AE_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS000067A556_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS000065E10E_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS000065D4C5_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS0000647E22_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006437F5_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006350F3_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS000062370A_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS0000103047_9615,NA,NA,Y RNA,Y-RNA,Y RNA
URS00006B3BDA_9615,NA,NA,Vault RNA,vault-RNA,Vault RNA
URS00006F7FA3_9615,NA,NA,tRNA-Val-TAC-5,tRNA,tRNA-Val-TAC
URS0000691943_9615,NA,NA,tRNA-Val-TAC-4,tRNA,tRNA-Val-TAC
URS00005F13F4_9615,NA,NA,tRNA-Val-TAC-3,tRNA,tRNA-Val-TAC
URS000070B37B_9615,NA,NA,tRNA-Val-TAC-2,tRNA,tRNA-Val-TAC
URS0000EE9BD4_9615,NA,NA,tRNA-Val-CAC-3,tRNA,tRNA-Val-CAC
URS00005CD0F6_9615,NA,NA,tRNA-Val-CAC-2,tRNA,tRNA-Val-CAC
URS00002064F6_9615,NA,NA,tRNA-Val-CAC-1,tRNA,tRNA-Val-CAC
URS0000EEA7A3_9615,NA,NA,tRNA-Val-AAC-4,tRNA,tRNA-Val-AAC
URS0000EE95ED_9615,NA,NA,tRNA-Val-AAC-3,tRNA,tRNA-Val-AAC
URS00006EC45F_9615,NA,NA,tRNA-Val-AAC-2,tRNA,tRNA-Val-AAC
URS000061D582_9615,NA,NA,tRNA-Val-AAC-1,tRNA,tRNA-Val-AAC
URS000068FFF1_9615,NA,NA,tRNA-Tyr-GTA-6,tRNA,tRNA-Tyr-GTA
URS0000EEAA57_9615,NA,NA,tRNA-Tyr-GTA-5,tRNA,tRNA-Tyr-GTA
URS0000333F2E_9615,NA,NA,tRNA-Tyr-GTA-4,tRNA,tRNA-Tyr-GTA
URS000074FC25_9615,NA,NA,tRNA-Tyr-GTA-2,tRNA,tRNA-Tyr-GTA
URS0000EEA784_9615,NA,NA,tRNA-Trp-CCA-6,tRNA,tRNA-Trp-CCA
URS000038F4B2_9615,NA,NA,tRNA-Trp-CCA-5,tRNA,tRNA-Trp-CCA
URS00001618FC_9615,NA,NA,tRNA-Trp-CCA-4,tRNA,tRNA-Trp-CCA
URS0000705F77_9615,NA,NA,tRNA-Trp-CCA-1,tRNA,tRNA-Trp-CCA
URS000021550A_9615,NA,NA,tRNA-Thr-TGT-3,tRNA,tRNA-Thr-TGT
URS0000023412_9615,NA,NA,tRNA-Thr-TGT-2,tRNA,tRNA-Thr-TGT
URS000068FE49_9615,NA,NA,tRNA-Thr-TGT-1,tRNA,tRNA-Thr-TGT
URS000065221D_9615,NA,NA,tRNA-Thr-CGT-4,tRNA,tRNA-Thr-CGT
URS00006A1B8A_9615,NA,NA,tRNA-Thr-CGT-3,tRNA,tRNA-Thr-CGT
URS00001D9AFB_9615,NA,NA,tRNA-Thr-CGT-2,tRNA,tRNA-Thr-CGT
URS0000693810_9615,NA,NA,tRNA-Thr-CGT-1,tRNA,tRNA-Thr-CGT
URS00003FEA13_9615,NA,NA,tRNA-Thr-AGT-6,tRNA,tRNA-Thr-AGT
URS000047B05D_9615,NA,NA,tRNA-Thr-AGT-3,tRNA,tRNA-Thr-AGT
URS00000A1A88_9615,NA,NA,tRNA-Thr-AGT-2,tRNA,tRNA-Thr-AGT
URS000071E490_9615,NA,NA,tRNA-Sup-CTA-2,tRNA,tRNA-Sup-CTA
URS0000666A5E_9615,NA,NA,tRNA-Sup-CTA-1,tRNA,tRNA-Sup-CTA
URS0000092302_9615,NA,NA,tRNA-Ser-TGA-3,tRNA,tRNA-Ser-TGA
URS00001C1C82_9615,NA,NA,tRNA-Ser-TGA-2,tRNA,tRNA-Ser-TGA
URS000067CBB6_9615,NA,NA,tRNA-Ser-GCT-6,tRNA,tRNA-Ser-GCT
URS00006329B9_9615,NA,NA,tRNA-Ser-GCT-5,tRNA,tRNA-Ser-GCT
URS000070D04C_9615,NA,NA,tRNA-Ser-GCT-4,tRNA,tRNA-Ser-GCT
URS00002034DC_9615,NA,NA,tRNA-Ser-GCT-3,tRNA,tRNA-Ser-GCT
URS000064B90E_9615,NA,NA,tRNA-Ser-CGA-4,tRNA,tRNA-Ser-CGA
URS0000278E1B_9615,NA,NA,tRNA-Ser-CGA-3,tRNA,tRNA-Ser-CGA
URS00001C3F54_9615,NA,NA,tRNA-Ser-CGA-1,tRNA,tRNA-Ser-CGA
URS00006C3D6D_9615,NA,NA,tRNA-Ser-AGA-5,tRNA,tRNA-Ser-AGA
URS000064D452_9615,NA,NA,tRNA-Ser-AGA-4,tRNA,tRNA-Ser-AGA
URS00006D236E_9615,NA,NA,tRNA-Ser-AGA-3,tRNA,tRNA-Ser-AGA
URS000068B85B_9615,NA,NA,tRNA-Ser-AGA-2,tRNA,tRNA-Ser-AGA
URS000038D8D3_9615,NA,NA,tRNA-Ser-AGA-1,tRNA,tRNA-Ser-AGA
URS00001DA281_9615,NA,NA,tRNA-SeC-TCA-1,tRNA,tRNA-SeC-TCA
URS00006EBEC7_9615,NA,NA,tRNA-Pro-TGG-4,tRNA,tRNA-Pro-TGG
URS000062C4DE_9615,NA,NA,tRNA-Pro-TGG-3,tRNA,tRNA-Pro-TGG
URS00002D40C8_9615,NA,NA,tRNA-Pro-TGG-2,tRNA,tRNA-Pro-TGG
URS00000C18F2_9615,NA,NA,tRNA-Pro-CGG-1,tRNA,tRNA-Pro-CGG
URS00005DB87D_9615,NA,NA,tRNA-Pro-AGG-1,tRNA,tRNA-Pro-AGG
URS0000670848_9615,NA,NA,tRNA-Phe-GAA-6,tRNA,tRNA-Phe-GAA
URS000065506E_9615,NA,NA,tRNA-Phe-GAA-5,tRNA,tRNA-Phe-GAA
URS0000063B55_9615,NA,NA,tRNA-Phe-GAA-2,tRNA,tRNA-Phe-GAA
URS000029CCC5_9615,NA,NA,tRNA-Phe-GAA-1,tRNA,tRNA-Phe-GAA
URS00006F3CD4_9615,NA,NA,tRNA-Met-CAT-9,tRNA,tRNA-Met-CAT
URS000063EBD8_9615,NA,NA,tRNA-Met-CAT-8,tRNA,tRNA-Met-CAT
URS00006C90A7_9615,NA,NA,tRNA-Met-CAT-7,tRNA,tRNA-Met-CAT
URS0000645859_9615,NA,NA,tRNA-Met-CAT-6,tRNA,tRNA-Met-CAT
URS000063DF6E_9615,NA,NA,tRNA-Met-CAT-5,tRNA,tRNA-Met-CAT
URS0000098C9B_9615,NA,NA,tRNA-Met-CAT-4,tRNA,tRNA-Met-CAT
URS000025E031_9615,NA,NA,tRNA-Met-CAT-3,tRNA,tRNA-Met-CAT
URS00006BB39F_9615,NA,NA,tRNA-Met-CAT-2,tRNA,tRNA-Met-CAT
URS0002D8D9E0_9615,NA,NA,tRNA-Met-CAT-1,tRNA,tRNA-Met-CAT
URS0002D301C3_9615,NA,NA,tRNA-Met-CAT0,tRNA,tRNA-Met-CAT
URS000274F04D_9615,NA,NA,tRNA-Met-CAT1,tRNA,tRNA-Met-CAT
URS0000A6390C_9615,NA,NA,tRNA-Met-CAT2,tRNA,tRNA-Met-CAT
URS0000A56ACF_9615,NA,NA,tRNA-Met-CAT3,tRNA,tRNA-Met-CAT
URS0000205005_9615,NA,NA,tRNA-Met-CAT4,tRNA,tRNA-Met-CAT
URS0000035E43_9615,NA,NA,tRNA-Met-CAT5,tRNA,tRNA-Met-CAT
URS000066E2D3_9615,NA,NA,tRNA-iMet-CAT-3,tRNA,tRNA-Met-CAT
URS000030BAD5_9615,NA,NA,tRNA-iMet-CAT-1,tRNA,tRNA-Met-CAT
URS000068133C_9615,NA,NA,tRNA-Lys-TTT-4,tRNA,tRNA-Lys-TTT
URS00006B8CD7_9615,NA,NA,tRNA-Lys-TTT-3,tRNA,tRNA-Lys-TTT
URS00002C3DFA_9615,NA,NA,tRNA-Lys-TTT-2,tRNA,tRNA-Lys-TTT
URS000022DD4A_9615,NA,NA,tRNA-Lys-TTT-1,tRNA,tRNA-Lys-TTT
URS000064DF2B_9615,NA,NA,tRNA-Lys-CTT-9,tRNA,tRNA-Lys-CTT
URS0000640845_9615,NA,NA,tRNA-Lys-CTT-8,tRNA,tRNA-Lys-CTT
URS00006ED604_9615,NA,NA,tRNA-Lys-CTT-7,tRNA,tRNA-Lys-CTT
URS000071E785_9615,NA,NA,tRNA-Lys-CTT-6,tRNA,tRNA-Lys-CTT
URS00004D9E92_9615,NA,NA,tRNA-Lys-CTT-4,tRNA,tRNA-Lys-CTT
URS0000681A4A_9615,NA,NA,tRNA-Lys-CTT-34,tRNA,tRNA-Lys-CTT
URS0000647167_9615,NA,NA,tRNA-Lys-CTT-33,tRNA,tRNA-Lys-CTT
URS00006C1DF6_9615,NA,NA,tRNA-Lys-CTT-32,tRNA,tRNA-Lys-CTT
URS000066040A_9615,NA,NA,tRNA-Lys-CTT-31,tRNA,tRNA-Lys-CTT
URS0000722DE5_9615,NA,NA,tRNA-Lys-CTT-30,tRNA,tRNA-Lys-CTT
URS0000689CF0_9615,NA,NA,tRNA-Lys-CTT-29,tRNA,tRNA-Lys-CTT
URS0000707A56_9615,NA,NA,tRNA-Lys-CTT-28,tRNA,tRNA-Lys-CTT
URS0000667502_9615,NA,NA,tRNA-Lys-CTT-27,tRNA,tRNA-Lys-CTT
URS00006DE8EC_9615,NA,NA,tRNA-Lys-CTT-26,tRNA,tRNA-Lys-CTT
URS00006C3123_9615,NA,NA,tRNA-Lys-CTT-25,tRNA,tRNA-Lys-CTT
URS00006F7872_9615,NA,NA,tRNA-Lys-CTT-24,tRNA,tRNA-Lys-CTT
URS000063D6D2_9615,NA,NA,tRNA-Lys-CTT-23,tRNA,tRNA-Lys-CTT
URS000070D898_9615,NA,NA,tRNA-Lys-CTT-22,tRNA,tRNA-Lys-CTT
URS00007034E5_9615,NA,NA,tRNA-Lys-CTT-21,tRNA,tRNA-Lys-CTT
URS0000EE9939_9615,NA,NA,tRNA-Lys-CTT-20,tRNA,tRNA-Lys-CTT
URS0000689A7F_9615,NA,NA,tRNA-Lys-CTT-9,tRNA,tRNA-Lys-CTT
URS0000720A6F_9615,NA,NA,tRNA-Lys-CTT-8,tRNA,tRNA-Lys-CTT
URS0000711583_9615,NA,NA,tRNA-Lys-CTT-7,tRNA,tRNA-Lys-CTT
URS0000662756_9615,NA,NA,tRNA-Lys-CTT-6,tRNA,tRNA-Lys-CTT
URS0000691879_9615,NA,NA,tRNA-Lys-CTT-5,tRNA,tRNA-Lys-CTT
URS0000644F82_9615,NA,NA,tRNA-Lys-CTT-4,tRNA,tRNA-Lys-CTT
URS00007056F5_9615,NA,NA,tRNA-Lys-CTT-3,tRNA,tRNA-Lys-CTT
URS0000648F42_9615,NA,NA,tRNA-Lys-CTT-2,tRNA,tRNA-Lys-CTT
URS00006D3612_9615,NA,NA,tRNA-Lys-CTT-1,tRNA,tRNA-Lys-CTT
URS00006F8732_9615,NA,NA,tRNA-Lys-CTT-1,tRNA,tRNA-Lys-CTT
URS00001AD596_9615,NA,NA,tRNA-Lys-CTT-1,tRNA,tRNA-Lys-CTT
URS000072CE54_9615,NA,NA,tRNA-Leu-TAG-4,tRNA,tRNA-Leu-TAG
URS0000709ECA_9615,NA,NA,tRNA-Leu-TAG-3,tRNA,tRNA-Leu-TAG
URS0000663275_9615,NA,NA,tRNA-Leu-TAG-2,tRNA,tRNA-Leu-TAG
URS00001B506A_9615,NA,NA,tRNA-Leu-TAG-1,tRNA,tRNA-Leu-TAG
URS000062BCDE_9615,NA,NA,tRNA-Leu-TAA-3,tRNA,tRNA-Leu-TAG
