transcript_id,gene_id,gene_name,product,biotype,family
guide-RNA_Gm22009_115489854,115489854,Gm22009,small Cajal body-specific RNA 7,scaRNA,small Cajal body-specific RNA 7
guide-RNA_Gm22387_115487902,115487902,Gm22387,small Cajal body-specific RNA 3,scaRNA,small Cajal body-specific RNA 3
guide-RNA_Gm22433_115489846,115489846,Gm22433,small Cajal body-specific RNA 14,scaRNA,small Cajal body-specific RNA 14
guide-RNA_Gm22442_115487906,115487906,Gm22442,small Cajal body-specific RNA 21,scaRNA,small Cajal body-specific RNA 21
guide-RNA_Gm22728_115490275,115490275,Gm22728,small Cajal body-specific RNA 23,scaRNA,small Cajal body-specific RNA 23
guide-RNA_Gm22767_115490051,115490051,Gm22767,small Cajal body-specific RNA 1,scaRNA,small Cajal body-specific RNA 1
guide-RNA_Gm22813_115489605,115489605,Gm22813,small Cajal body-specific RNA 4,scaRNA,small Cajal body-specific RNA 4
guide-RNA_Gm22897_115490274,115490274,Gm22897,small Cajal body-specific RNA 4,scaRNA,small Cajal body-specific RNA 4
guide-RNA_Gm23119_115486069,115486069,Gm23119,small Cajal body-specific RNA 17,scaRNA,small Cajal body-specific RNA 17
guide-RNA_Gm23370_115487649,115487649,Gm23370,small Cajal body-specific RNA 4,scaRNA,small Cajal body-specific RNA 4
guide-RNA_Gm23386_115487907,115487907,Gm23386,small Cajal body-specific RNA 21,scaRNA,small Cajal body-specific RNA 21
guide-RNA_Gm23505_115489631,115489631,Gm23505,small Cajal body-specific RNA 14,scaRNA,small Cajal body-specific RNA 14
guide-RNA_Gm23557_115489217,115489217,Gm23557,small Cajal body-specific RNA 24,scaRNA,small Cajal body-specific RNA 24
guide-RNA_Gm23751_115490492,115490492,Gm23751,small Cajal body-specific RNA 11,scaRNA,small Cajal body-specific RNA 11
guide-RNA_Gm24289_115487307,115487307,Gm24289,small Cajal body-specific RNA 14,scaRNA,small Cajal body-specific RNA 14
guide-RNA_Gm24644_115489635,115489635,Gm24644,small Cajal body-specific RNA 21,scaRNA,small Cajal body-specific RNA 21
guide-RNA_Gm24718_115489240,115489240,Gm24718,small Cajal body-specific RNA 3,scaRNA,small Cajal body-specific RNA 3
guide-RNA_Gm25058_115487887,115487887,Gm25058,small Cajal body-specific RNA 4,scaRNA,small Cajal body-specific RNA 4
guide-RNA_Gm25119_115488849,115488849,Gm25119,small Cajal body-specific RNA 3,scaRNA,small Cajal body-specific RNA 3
guide-RNA_Gm25395_115485773,115485773,Gm25395,small Cajal body-specific RNA 6,scaRNA,small Cajal body-specific RNA 6
guide-RNA_Gm25434_115490473,115490473,Gm25434,small Cajal body-specific RNA 16,scaRNA,small Cajal body-specific RNA 16
guide-RNA_Gm25443_115489088,115489088,Gm25443,small Cajal body-specific RNA 18,scaRNA,small Cajal body-specific RNA 18
guide-RNA_Gm25492_115490291,115490291,Gm25492,small Cajal body-specific RNA 20,scaRNA,small Cajal body-specific RNA 20
guide-RNA_Gm25624_115486089,115486089,Gm25624,small Cajal body-specific RNA 13,scaRNA,small Cajal body-specific RNA 13
guide-RNA_Gm25820_115489824,115489824,Gm25820,small Cajal body-specific RNA 4,scaRNA,small Cajal body-specific RNA 4
guide-RNA_Gm25913_115485866,115485866,Gm25913,small Cajal body-specific RNA 17,scaRNA,small Cajal body-specific RNA 17
guide-RNA_Gm26183_115486084,115486084,Gm26183,small Cajal body-specific RNA 17,scaRNA,small Cajal body-specific RNA 17
guide-RNA_Gm26347_115487535,115487535,Gm26347,small Cajal body-specific RNA 11,scaRNA,small Cajal body-specific RNA 11
guide-RNA_Gm26413_115487888,115487888,Gm26413,small Cajal body-specific RNA 4,scaRNA,small Cajal body-specific RNA 4
guide-RNA_Gm26489_115486132,115486132,Gm26489,small Cajal body-specific RNA 13,scaRNA,small Cajal body-specific RNA 13
guide-RNA_Gm27414_115486126,115486126,Gm27414,small Cajal body-specific RNA 2,scaRNA,small Cajal body-specific RNA 2
guide-RNA_Scarna10_100217413,100217413,Scarna10,small Cajal body-specific RNA 10,scaRNA,small Cajal body-specific RNA 10
guide-RNA_Scarna13_100306943,100306943,Scarna13,small Cajal body-specific RNA 1,scaRNA,small Cajal body-specific RNA 1
guide-RNA_Scarna17_100217466,100217466,Scarna17,small Cajal body-specific RNA 17,scaRNA,small Cajal body-specific RNA 17
guide-RNA_Scarna2_100217438,100217438,Scarna2,small Cajal body-specific RNA 2,scaRNA,small Cajal body-specific RNA 2
guide-RNA_Scarna3a_100217414,100217414,Scarna3a,small Cajal body-specific RNA 3A,scaRNA,small Cajal body-specific RNA 3A
guide-RNA_Scarna3b_100217447,100217447,Scarna3b,small Cajal body-specific RNA 3B,scaRNA,small Cajal body-specific RNA 3B
guide-RNA_Scarna6_100217415,100217415,Scarna6,small Cajal body-specific RNA 6,scaRNA,small Cajal body-specific RNA 6
guide-RNA_Scarna8_100217448,100217448,Scarna8,small Cajal body-specific RNA 8,scaRNA,small Cajal body-specific RNA 8
guide-RNA_Scarna9_100216535,100216535,Scarna9,small Cajal body-specific RNA 9,scaRNA,small Cajal body-specific RNA 9
premiRNA_Gm22650_104797221,104797221,Gm22650,"predicted gene, 22650",miRNA,"predicted gene, 22650"
premiRNA_Gm23363_104795665,104795665,Gm23363,"predicted gene, 23363",miRNA,"predicted gene, 23363"
premiRNA_Gm23450_104795667,104795667,Gm23450,"predicted gene, 23450",miRNA,"predicted gene, 23450"
premiRNA_Gm24148_102465895,102465895,Gm24148,"predicted gene, 24148",miRNA,"predicted gene, 24148"
premiRNA_Gm24195_114483555,114483555,Gm24195,"predicted gene, 24195",miRNA,"predicted gene, 24195"
premiRNA_Gm24572_104795666,104795666,Gm24572,"predicted gene, 24572",miRNA,"predicted gene, 24572"
premiRNA_Gm24627_114483767,114483767,Gm24627,"predicted gene, 24627",miRNA,"predicted gene, 24627"
premiRNA_Gm25500_102465758,102465758,Gm25500,"predicted gene, 25500",miRNA,"predicted gene, 25500"
premiRNA_Gm25641_114482879,114482879,Gm25641,"predicted gene, 25641",miRNA,"predicted gene, 25641"
premiRNA_Gm27775_102466211,102466211,Gm27775,"predicted gene, 27775",miRNA,"predicted gene, 27775"
premiRNA_Gm38670_104795949,104795949,Gm38670,"predicted gene, 38670",miRNA,"predicted gene, 38670"
premiRNA_Gm38671_104797311,104797311,Gm38671,"predicted gene, 38671",miRNA,"predicted gene, 38671"
premiRNA_Gm51264_114482235,114482235,Gm51264,"predicted gene, 51264",miRNA,"predicted gene, 51264"
premiRNA_Gm51265_114482779,114482779,Gm51265,"predicted gene, 51265",miRNA,"predicted gene, 51265"
